NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
TTO,Athletics,Athletics Men's 4 x 400 metres Relay,4,0,Athletics - Athletics Men's 4 x 400 metres Relay,3
TUN,Swimming,Swimming Men's 10 kilometres Open Water,1,1,Swimming - Swimming Men's 10 kilometres Open Water,1
TUN,Swimming,"Swimming Men's 1,500 metres Freestyle",2,1,"Swimming - Swimming Men's 1,500 metres Freestyle",2
TUN,Taekwondo,Men -80kg,1,1,Taekwondo - Men -80kg,3
TUR,Athletics,"Athletics Women's 1,500 metres",2,1,"Athletics - Athletics Women's 1,500 metres",1
TUR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",1,1,"Wrestling - Wrestling Men's Super-Heavyweight, Freestyle",2
TUR,Wrestling,"Wrestling Men's Welterweight, Freestyle",1,1,"Wrestling - Wrestling Men's Welterweight, Freestyle",3
UAE,Judo,Judo Men's Half-Middleweight,1,0,Judo - Judo Men's Half-Middleweight,1
UGA,Athletics,Athletics Men's Marathon,1,1,Athletics - Athletics Men's Marathon,1
UGA,Athletics,Women's 3000m Steeplechase,2,1,Athletics - Women's 3000m Steeplechase,2
UGA,Athletics,"Men's 10,000m",3,1,"Athletics - Men's 10,000m",3
UKR,Rowing,Rowing Women's Quadruple Sculls,4,4,Rowing - Rowing Women's Quadruple Sculls,1
UKR,Fencing,"Fencing Women's Sabre, Team",8,4,"Fencing - Fencing Women's Sabre, Team",2
UKR,Fencing,Women's Sabre Team,4,4,Fencing - Women's Sabre Team,3
USA,Basketball,Basketball Men's Basketball,36,36,Basketball - Basketball Men's Basketball,1
USA,Basketball,Basketball Women's Basketball,36,36,Basketball - Basketball Women's Basketball,2
USA,Football,Football Women's Football,34,34,Football - Football Women's Football,3
UZB,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",2,2,"Wrestling - Wrestling Men's Super-Heavyweight, Freestyle",1
UZB,Taekwondo,Men -68kg,2,2,Taekwondo - Men -68kg,2
UZB,Boxing,Boxing Men's Light-Welterweight,1,1,Boxing - Boxing Men's Light-Welterweight,3
VEN,Fencing,"Fencing Men's epee, Individual",1,1,"Fencing - Fencing Men's epee, Individual",1
VEN,Athletics,Women's Triple Jump,1,1,Athletics - Women's Triple Jump,2
VEN,Taekwondo,Taekwondo Women's Flyweight,1,0,Taekwondo - Taekwondo Women's Flyweight,3
VIE,Shooting,"Shooting Men's Air Pistol, 10 metres",1,1,"Shooting - Shooting Men's Air Pistol, 10 metres",1
VIE,Shooting,"Shooting Men's Free Pistol, 50 metres",1,0,"Shooting - Shooting Men's Free Pistol, 50 metres",2
VIE,Weightlifting,Weightlifting Men's Bantamweight,1,0,Weightlifting - Weightlifting Men's Bantamweight,3
ZAM,Athletics,Men's 400m,1,0,Athletics - Men's 400m,1
ZIM,Swimming,Swimming Women's 200 metres Backstroke,1,1,Swimming - Swimming Women's 200 metres Backstroke,1
ZIM,Swimming,Swimming Women's 100 metres Backstroke,1,0,Swimming - Swimming Women's 100 metres Backstroke,2
ZIM,Swimming,Swimming Women's 400 metres Individual Medley,1,0,Swimming - Swimming Women's 400 metres Individual Medley,3
